@@@@@@@@@@@@@@@@
h1 1-0 repeated time: 1
 [1, 1, 0, -1, -1]
 [1, 1, -1, 2, 0]
 [1, 2, -1, -1, 1]
 [1, 0, 1, 1, -1]
 [2, 3, 1, 1, 1]
 [1, -1, -1, 3, -1]
 [1, 1, -1, -1, 1]
 [-1, 0, 1, 1, 1]
 [1, 1, -1, 1, 0]
 [1, 1, 1, 1, -1]
 [1, 1, -1, 1, 1]
 [1, 1, -1, -1, 1]
 [1, 1, 1, -1, 1]
=======
h1 2-0 repeated time: 1
 [1, -1, -1, -1, 1]
 [-1, -1, -1, 1, -1]
 [1, 1, 0, -1, -1]
 [1, 1, -1, 1, 0]
 [1, 1, -1, -1, 1]
 [1, 1, 1, 1, -1]
 [1, -1, 1, 2, 1]
 [3, -1, -1, 1, -1]
 [1, 2, -1, -1, 1]
 [1, 1, -1, 1, 1]
 [1, 0, -1, 1, -1]
 [-1, -1, 1, 1, 1]
 [1, -1, 1, 1, 1]
 [1, 2, 1, -1, 1]
 [1, 0, 2, 1, -1]
=======
h1 2-15 repeated time: 2
 [1, -1, -1, -1, 1]
 [-1, -1, -1, 1, -1]
 [1, 1, 0, -1, -1]
 [-1, 0, -1, 1, 0]
 [1, 1, -1, -1, 1]
 [3, 0, 1, 1, -1]
 [1, 1, 0, -1, 1]
 [3, -1, -1, 2, -1]
 [1, 1, -1, -1, 1]
 [1, 0, -1, 2, 1]
 [1, 0, -1, 1, -1]
 [-1, -1, 1, 2, 1]
 [1, -1, 2, -1, 1]
 [2, 1, 1, -1, 1]
 [1, 0, 1, 2, -1]
=======
h1 2-30 repeated time: 3
 [1, 3, -1, -1, 1]
 [2, -1, -1, 1, -1]
 [1, 1, 0, -1, -1]
 [1, 0, -1, 1, 0]
 [0, 1, -1, -1, 1]
 [1, 0, 1, 1, -1]
 [1, -1, 1, 3, 1]
 [1, -1, -1, 2, -1]
 [1, 1, -1, -1, 1]
 [1, 1, -1, 2, 1]
 [1, 0, -1, 1, -1]
 [-1, -1, 1, 2, 1]
 [1, 1, 1, 3, 1]
 [1, -1, 1, -1, 1]
 [1, 1, 1, 1, -1]
=======
